id,address,price,area_sqm,rooms,is_new_building,has_balcony,no_commission,has_terrace,is_furnished,is_social_housing,district
684a93405e9cbac7280d1e3c,"Dresdner Straße, 1200 Wien",1251.6,33.6,1.0,0,1,0,1,1,0,1200
687614add04d6bc8fd37e033,"Dresdner Straße, 1200 Wien",2435.75,69.1,3.0,0,1,0,1,0,0,1200
684a933f5e9cbac7280d1e2e,"Dresdner Straße, 1200 Wien",1216.4,32.3,1.0,0,1,0,1,1,0,1200
684a933f5e9cbac7280d1e2b,"Dresdner Straße, 1200 Wien",1821.4,49.1,2.0,0,1,0,1,1,0,1200
684a933f5e9cbac7280d1e27,"Dresdner Straße, 1200 Wien",1821.4,48.7,2.0,0,1,0,1,1,0,1200
684a933f5e9cbac7280d1e21,"Dresdner Straße, 1200 Wien",2213.0,61.8,2.0,0,1,0,1,1,0,1200
687614acd04d6bc8fd37e02d,"Dresdner Straße, 1200 Wien",2949.45,88.8,3.0,0,1,0,1,0,0,1200
684a933e7c7855c453441d27,"Dresdner Straße, 1200 Wien",1227.4,32.1,1.0,0,1,0,1,1,0,1200
684a933e7c7855c453441d24,"Dresdner Straße, 1200 Wien",1273.6,33.9,1.0,0,1,0,1,1,0,1200
687614abd04d6bc8fd37e025,"Dresdner Straße, 1200 Wien",2423.1,67.1,3.0,0,1,0,1,0,0,1200
684a933d5e9cbac7280d1e01,"Dresdner Straße, 1200 Wien",1216.4,32.3,1.0,0,1,0,1,1,0,1200
684a933d7c7855c453441d10,"Dresdner Straße, 1200 Wien",1821.4,49.1,2.0,0,1,0,1,1,0,1200
684a933d7c7855c453441d05,"Dresdner Straße, 1200 Wien",1821.4,48.7,2.0,0,1,0,1,1,0,1200
684a933d5e9cbac7280d1df6,"Dresdner Straße, 1200 Wien",2213.0,61.8,2.0,0,1,0,1,1,0,1200
684a933d5e9cbac7280d1df3,"Dresdner Straße, 1200 Wien",1422.1,36.0,2.0,0,1,0,1,1,0,1200
687614aad04d6bc8fd37e01a,"Dresdner Straße, 1200 Wien",2949.45,88.8,3.0,0,1,0,1,0,0,1200
684a933c7c7855c453441ce9,"Dresdner Straße, 1200 Wien",1227.4,32.1,1.0,0,1,0,1,1,0,1200
684a933c7c7855c453441ce3,"Dresdner Straße, 1200 Wien",1279.1,33.9,1.0,0,1,0,1,1,0,1200
684a933c5e9cbac7280d1dd1,"Dresdner Straße, 1200 Wien",1257.1,33.6,1.0,0,1,0,1,1,0,1200
684a933b5e9cbac7280d1db3,"Dresdner Straße, 1200 Wien",2218.5,61.8,2.0,0,1,0,1,1,0,1200
687614aad04d6bc8fd37e012,"Dresdner Straße, 1200 Wien",3527.5,105.0,4.0,0,1,0,1,0,0,1200
684a933b7c7855c453441cba,"Dresdner Straße, 1200 Wien",1279.1,33.9,1.0,0,1,0,1,1,0,1200
684a933b5e9cbac7280d1da2,"Dresdner Straße, 1200 Wien",1257.1,33.6,1.0,0,1,0,1,1,0,1200
687614aad04d6bc8fd37e009,"Dresdner Straße, 1200 Wien",2441.25,69.1,3.0,0,1,0,1,0,0,1200
684a933a5e9cbac7280d1d8a,"Dresdner Straße, 1200 Wien",1826.9,48.7,2.0,0,1,0,1,1,0,1200
684a933a5e9cbac7280d1d87,"Dresdner Straße, 1200 Wien",2218.5,61.8,2.0,0,1,0,1,1,0,1200
684a93395e9cbac7280d1d82,"Dresdner Straße, 1200 Wien",1427.6,36.0,2.0,0,1,0,1,1,0,1200
687618641b7dd9e5fe6b7e0d,"Dresdner Straße, 1200 Wien",2434.1,67.1,3.0,0,1,0,1,1,0,1200
6876110f1b7dd9e5fe6b6a6b,"Dresdner Straße, 1200 Wien",2434.1,67.1,3.0,0,1,0,1,1,0,1200
684a93397c7855c453441c82,"Dresdner Straße, 1200 Wien",1698.2,48.1,2.0,0,1,0,1,1,0,1200
687611111b7dd9e5fe6b6a88,"Dresdner Straße, 1200 Wien",2428.6,67.1,3.0,0,1,0,1,0,0,1200
684a93385e9cbac7280d1d58,"Dresdner Straße, 1200 Wien",1257.1,33.6,1.0,0,1,0,1,1,0,1200
687611111b7dd9e5fe6b6a81,"Dresdner Straße, 1200 Wien",2441.25,69.1,3.0,0,1,0,1,0,0,1200
68761865d04d6bc8fd37eb19,"Dresdner Straße, 1200 Wien",2441.25,69.1,3.0,0,1,0,1,0,0,1200
